Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Gunboat Diplomacy	Deluxe	03-137	  	Conflict	Military	  	  	  	  	  		Fixed		03-137 F2	Target another race. If successful, players of that race lose 1 influence, and you gain +1 influence if you win by 5-9, or +2 influence if you win by 10 or more.  If unsuccessful, exchange recipients of these effects.  If one or more fleet attacks occur, Babylon 5 loses 1 influence and all players' tensions grow by 1 toward the race of the fleet that first attacked.
Harvest Souls	Deluxe	03-138	  	Aftermath	Participant	  	  	  	  	  	Destiny	Rare 2		03-138 R2	Rotate a Soul Hunter you control.  Your ambassador gains all the Destiny Marks from all supporting characters neutralized in the conflict.  (Discard this aftermath after play.)
Hate Crime	Deluxe	03-139	  	Conflict	Intrigue	  	  	  	  	  		Uncommon		03-139 U2	Target another player's supporting character.  For each 5 strength by which this conflict succeeds, Babylon 5 loses 1 influence.  If you succeed by 10 or more, discard target supporting character.
Heavy Fleet	Deluxe	03-140	7	Fleet	Narn	  	  	  	  	6		Rare 2		03-140 R2	Multiple.
Hidden Agent	Deluxe	03-141	  	Aftermath	Won Intrigue	  	  	  	  	  		Fixed		03-141 F2	Target your ambassador.  Select another faction that participated in the conflict.  Discard any Hidden Agent that faction has affecting your faction.  The selected player must choose and show you his face-down conflict card before you choose your conflict each turn.
Hidden Knowledge	Deluxe	03-142	  	Event		  	  	  	  	  		Fixed		03-142 F1	Requires 2 Vorlon Marks to play.  Apply up to 5 influence per player.  You may look at a number of cards from the top of each player's deck equal to the amount of influence you applied for that player.  Replace the cards in any order you desire.
Higher Calling	Deluxe	03-143	  	Agenda		  	  	  	  	  		Common		03-143 C2	Count each 2 Destiny Marks your characters have as 1 power.  Your ambassador gains +4 to each of his abilities while participating in any conflict which can result in your faction gaining a Destiny Mark.  Shadow Marks and Vorlon Marks on all characters for all factions count double.
Hire Raiders	Deluxe	03-144	  	Event		  	  	  	  	  	Doom	Common		03-144 C2	Rotate one of your characters with Intrigue.  For each influence you apply, up to a maximum of the character's Intrigue, do 1 point of damage to a target fleet.  Your character gains a Doom Mark.
Hour of the Wolf	Deluxe	03-145	3	Event		  	  	  	  	  		Uncommon		03-145 U2	Ready an Inner Circle character who has rotated.  The effect of his action is not canceled.  If the character participated in a conflict, they cannot participate in that same conflict.
Human Agent	Deluxe	03-146	3	Character	Human	  	2	  	  	  		Fixed		03-146 F1	Multiple.
Human Aide	Deluxe	03-147	4	Character	Human	3	  	  	  	  		Fixed		03-147 F1	Multiple.
Human Captain	Deluxe	03-148	3	Character	Human	  	  	  	2	  		Fixed		03-148 F1	Multiple.
Humanitarian Aid	Deluxe	03-149	  	Conflict	Diplomacy	  	  	  	  	  		Common		03-149 C2	Target a race that was the target of a won war conflict last turn.   If successful, Babylon 5 gains +2 influence, and each faction of the target race gains +1 influence.
Hunted	Deluxe	03-150	  	Aftermath	Intrigue Participant	  	  	  	  	  		Fixed		03-150 F1	Target a participant character.  Two influence must be applied each time the character is readied, or he remains rotated.
Hunter, Prey	Deluxe	03-151	  	Conflict	Intrigue	  	  	  	  	  		Common		03-151 C2	If successful, this card becomes a faction enhancement which you can rotate to apply 2 Intrigue support or opposition to any Intrigue conflict.
ISN	Deluxe	03-152	8	Group		  	  	  	  	  		Uncommon		03-152 U2	Media.   Rotate this group to reverse a tension change which occurred since your last action.
Immolan V	Deluxe	03-153	6	Location	Centauri	  	  	  	  	15		Uncommon		03-153 U2	Location's Military may only be used to oppose conflicts targeting this location.  Rotate this location while your ambassador is supporting a conflict to give him +3 Intrigue for the rest of the turn.
Imperial Telepaths	Deluxe	03-154	10	Group	Centauri	  	  	  	  	  		Rare 2		03-154 R2	Rotate to draw the top 2 cards from your deck.  Then, place 3 cards from your hand at the bottom of your deck.
Imperialism	Deluxe	03-155	  	Agenda		  	  	  	  	  		Common		03-155 C2	Your ambassador gains +2 Leadership.  Gain +2 influence for each location you capture.  Lose 2 influence if a location you control is captured.  You may use captured locations as if they were your own.
In the Line of Duty	Deluxe	03-156	  	Aftermath	Participant	  	  	  	  	  		Uncommon		03-156 U2	Play when a limited supporting character was neutralized during an attack. Remove the character from play.  (No copy of the character can reenter play.)  (Discard this aftermath after play.)
Inevitable Destiny	Deluxe	03-157	  	Aftermath	Participant	  	  	  	  	  		Rare 2		03-157 R2	Target a conflict that was just resolved.  Go through your deck until you find the first aftermath playable on that conflict, then play it.  Shuffle your deck.  (Discard this aftermath after play.)
Infiltrate and Exploit	Deluxe	03-158	  	Agenda		  	  	  	  	  		Uncommon		03-158 U2	Apply 5 influence to initiate an Intrigue conflict.  Choose one of the following goals, which will occur if successful: Gain +1 influence; Your target loses 1 influence; Choose a target ability, your ambassador will gain a permanent bonus (which can accumulate) of +1 to that ability.
Influential Lords	Deluxe	03-159	10	Group	Centauri	  	  	  	  	  		Uncommon		03-159 U2	If a conflict can increase Centauri influence, rotate this group to provide +5 Diplomacy or +3 Intrigue in support of the conflict.
Internal Strife	Deluxe	03-160	1	Event		  	  	  	  	  		Common		03-160 C2	Target player's unrest increases by 1.
Interstellar Corporation	Deluxe	03-161	4	Group		  	  	  	  	  		Common		03-161 C2	Multiple. Any other willing player may apply influence for you on your turn with your permission.  That player may require you to apply the same amount of influence for him during any of his actions on a future turn.
Intolerable Interference	Deluxe	03-162	  	Aftermath	Lost	  	  	  	  	  		Uncommon		03-162 U2	Play after a conflict you initiated.  Target one player who opposed your conflict, or attacked one of your characters, but who was not a target of the conflict.  Increase your tension toward that player by 2.  (Discard this aftermath after play.)
Intrigues Mature	Deluxe	03-163	1	Event		  	  	  	  	  		Common		03-163 C2	All players may use Intrigue to support or oppose a target Diplomacy conflict.
Ipsha Battleglobe	Deluxe	03-164	2	Fleet	Non-Aligned	  	  	  	  	4		Uncommon		03-164 U2	Any player may sponsor this fleet.  Apply 2 influence when you rotate Ipsha Battleglobe. The first player each turn to pay 2 influence to the Ipsha Battleglobe takes control of the fleet.  A player may apply this cost even if he already controls the fleet.
Isolated	Deluxe	03-165	1	Enhancement	Character	  	  	  	  	  		Uncommon		03-165 U2	Rotate your ambassador and select a target character. Call a Babylon 5 vote.  If the vote passes, B5 gains +1 influence and the target character loses Intrigue equal to half of Babylon 5's influence, rounded up, to minimum ability of 1.
Isolationism	Deluxe	03-166	1	Enhancement	Faction	  	  	  	  	  		Uncommon		03-166 U2	Target your faction.  When players not of your race sponsor characters of your race, the cost for the character increases by an amount equal to your tension toward their race.  Apply influence equal to your lowest tension during the draw round, or discard this enhancement.
It Will Be His Undoing	Deluxe	03-167	  	Aftermath	Lost	  	  	  	  	  		Rare 3		03-167 R3	Target player loses 1 influence for each Doom Mark he has.  Purge all his Doom Marks.  (Discard this aftermath after play.)
Ja'Doc	Deluxe	03-168	6	Character	Narn	2	  	  	4	  		Fixed		03-168 F1	While ready, you may negate any event being played.  Discard Ja'Doc when this effect is used.
John Sheridan	Deluxe	03-169	10	Character	Human	4	2	  	4	  	Destiny	Rare 2		03-169 R2	John Sheridan may replace Jeffrey Sinclair.  Whenever John Sheridan gains a mark of a type he does not have, he gains an additional mark of that type.  Rotate John Sheridan as an action and play a conflict card.  You must apply 3 influence (in addition to any other requirements) for each prior action you have had this turn to initiate this additional conflict.
Judgement by Success	Deluxe	03-170	3	Enhancement	Faction	  	  	  	  	  		Uncommon		03-170 U2	Target one player.  Whenever that player wins a conflict, reduce his unrest by 1.  Whenever that player loses a conflict, increase his unrest by 1.
Kha'Mak	Deluxe	03-171	11	Character	Narn	8	  	  	  	  		Fixed		03-171 F2	Representative of the Kha'Ri.  Cannot become an Inner Circle character.  Rotate to reduce the cost of the next Narn character you sponsor this turn by 2.  Your influence rating is increased by +1 while you control Kha'Mak.
Knowledge is Power	Deluxe	03-172	  	Agenda		  	  	  	  	  		Fixed		03-172 F2	Your ambassador gains +2 intrigue.  Apply 7 influence to initiate an Intrigue conflict.  If you win by 5 or more, your target must either discard an Inner Circle character, or you gain +1 influence and your target loses 1 influence.
Knowledge of Shadows	Deluxe	03-173	1	Event		  	  	  	  	  		Common		03-173 C2	Requires 1 Shadow Mark to play.  Go through your deck and select 1 event card of your choice which directly modifies Military or Leadership.  Show it to your opponent, then put it in your hand.  Shuffle your deck.
Knowledge of the Soul	Deluxe	03-174	  	Event		  	  	  	  	  		Uncommon		03-174 U2	Rotate a Soul Hunter you control.  Target a character in another player's discard pile who is not currently in play.  The character becomes your supporting character for the rest of the turn, and is then discarded (to the same discard pile).
Kosh Naranek	Deluxe	03-175	2	Group		  	  	  	  	  	Vorlon	Rare 2		03-175 R2	Any player may, as an action, apply any amount of influence.  For each 3 influence so applied, his ambassador gains a Vorlon Mark.  At the end of the turn, his ambassador must purge one Vorlon Mark for each mark gained.
Lack of Subtlety	Deluxe	03-176	1	Event		  	  	  	  	  		Common		03-176 C2	Target ready character with Intrigue greater than 1 has his Intrigue lowered to 1.  (Bonuses applied later this turn raise the ability from the new base of 1.)  This effect expires at the end of the turn.
Lady Ladira	Deluxe	03-177	6	Character	Centauri	3	1	  	  	  		Uncommon		03-177 U2	Seeress.
Lamentations	Deluxe	03-178	  	Aftermath	Lost	  	  	  	  	  		Fixed		03-178 F1	Target ambassador cannot participate in any conflict.  Discard this aftermath at the beginning of the next aftermath round.
Latent Telepath	Deluxe	03-179	4	Enhancement	Character	  	  	  	  	  		Common		03-179 C2	A Non-Narn character with a Psi of 0 gains Psi 3.  Cannot be played on an ambassador.
Leading the Races	Deluxe	03-180	  	Agenda	Human	  	  	  	  	  		Common		03-180 C2	For each Destiny Mark your ambassador has, the cost for you to sponsor any character is reduced by 1.  Count each racial type (including Neutral characters and Non-Aligned) represented by a character in your Inner Circle as 1 power.
Learning Experience	Deluxe	03-181	  	Aftermath	Intrigue Participant	  	  	  	  	  		Common		03-181 C2	Participant character gains +1 Intrigue.
Left Vulnerable	Deluxe	03-182	  	Aftermath	Lost Diplomacy	  	  	  	  	  		Rare 2		03-182 R2	Each turn, all players may apply influence to lower 1 of the target ambassador's abilities.  For every 3 influence a player applies, 1 ability of his choice is reduced by 1 until the end of the turn (minimum 0).
Liquidating Assets	Deluxe	03-183	  	Event		  	  	  	  	  		Common		03-183 C2	If all other players agree, you gain +5 influence to apply during the current turn only.  If you gain this influence, all other players permanently gain +1 influence during the resolution round.
Lockdown	Deluxe	03-184	  	Event		  	  	  	  	  		Common		03-184 C2	All Intrigue conflicts have +5 Intrigue added to their opposition total.  You must apply 5 influence per Intrigue conflict in play.
Long Term Investment	Deluxe	03-185	8	Event		  	  	  	  	  		Common		03-185 C2	Lose 1 influence.  Gain +1 power.
Lord Kiro	Deluxe	03-186	10	Character	Centauri	5	3	  	4	  	Doom	Uncommon		03-186 U2	Rotate and discard Lord Kiro to go through your deck, find The Eye, and play it on your ambassador for no cost, then shuffle your deck.
Lord Refa	Deluxe	03-187	8	Character	Centauri	3	6	  	  	  		Uncommon		03-187 U2	Centauri unrest grows by 1 when Lord Refa is sponsored.
Lord Valo	Deluxe	03-188	9	Character	Centauri	3	2	  	3	  		Common		03-188 C2	Rotate Lord Valo and any other character you control to remove one mark from that character.
Loss of Face	Deluxe	03-189	  	Aftermath	Lost	  	  	  	  	  		Common		03-189 C2	If the final strength supporting the conflict was 0, the initiator of the conflict loses 1 influence.  (Discard this aftermath after play.)
